Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Phimosus infuscatus,Invertebrados,0,80,20,0,0,0,0,546.00
Theristicus caudatus,Invertebrados,0,0,100,0,0,0,0,1726.00
Platalea ajaja,Omnívoro,0,100,0,0,0,0,0,1490.00
Sarcoramphus papa,Carnívoro/Carroñero,0,0,100,0,0,0,0,3741.67
Coragyps atratus,Carnívoro/Carroñero,0,0,100,0,0,0,0,1572.10
Cathartes aura,Carnívoro/Carroñero,0,0,100,0,0,0,0,1373.12
Cathartes burrovianus,Carnívoro/Carroñero,0,0,100,0,0,0,0,892.40
Cathartes melambrotus,Carnívoro/Carroñero,0,0,100,0,0,0,0,1411.88
Pandion haliaetus,Carnívoro/Carroñero,40,60,0,0,0,0,0,1324.48
Elanus leucurus,Carnívoro/Carroñero,0,0,80,0,0,0,20,305.15
Gampsonyx swainsonii,Carnívoro/Carroñero,0,0,100,0,0,0,0,96.86
Chondrohierax uncinatus,Invertebrados,0,0,0,50,50,0,0,468.04
Leptodon cayanensis,Omnívoro,0,0,0,50,50,0,0,474.00
Elanoides forficatus,Invertebrados,0,0,0,50,50,0,0,416.24
Morphnus guianensis,Carnívoro/Carroñero,0,0,0,0,33,33,33,1969.00
Harpia harpyja,Carnívoro/Carroñero,0,0,10,10,40,40,0,4110.00
Spizaetus tyrannus,Carnívoro/Carroñero,0,0,20,20,30,20,10,823.56
Spizaetus melanoleucus,Carnívoro/Carroñero,0,0,30,10,10,30,20,850.00
Busarellus nigricollis,Carnívoro/Carroñero,0,0,100,0,0,0,0,848.87
Rostrhamus sociabilis,Invertebrados,0,0,100,0,0,0,0,349.56
Helicolestes hamatus,Invertebrados,0,0,100,0,0,0,0,425.46
Ictinia plumbea,Invertebrados,0,0,0,0,0,20,80,268.81
Circus buffoni,Carnívoro/Carroñero,0,0,100,0,0,0,0,443.93
Accipiter superciliosus,Carnívoro/Carroñero,0,0,0,0,33,33,33,101.09
Geranospiza caerulescens,Carnívoro/Carroñero,0,0,20,30,50,0,0,338.90
Buteogallus schistaceus,Carnívoro/Carroñero,0,0,100,0,0,0,0,999.99
Buteogallus meridionalis,Carnívoro/Carroñero,0,0,100,0,0,0,0,765.10
Buteogallus urubitinga,Carnívoro/Carroñero,0,0,40,10,10,40,0,1097.27
Rupornis magnirostris,Carnívoro/Carroñero,0,0,33,33,33,0,0,270.06
Geranoaetus albicaudatus,Carnívoro/Carroñero,0,0,100,0,0,0,0,1011.50
Buteo nitidus,Carnívoro/Carroñero,0,0,0,33,33,33,0,488.42
Buteo albonotatus,Carnívoro/Carroñero,0,0,50,20,30,0,0,622.96
Tyto alba,Carnívoro/Carroñero,0,0,90,10,0,0,0,379.16
Megascops choliba,Invertebrados,0,0,40,50,0,0,10,131.64
